provinsi,jenis,daerah,tahun,periode,gk,Cluster
34,1,2,2021,1,-0.9912696185377571,1
34,1,2,2022,0,-0.9627606925196229,1
34,1,2,2022,1,-0.9279607083094188,1
34,1,0,2021,0,-1.2088833279394295,1
34,1,0,2021,1,-1.2006006282091666,1
34,1,0,2022,0,-1.1698281857761972,1
34,1,0,2022,1,-1.126821373894328,1
34,1,1,2021,0,-1.0954166643063767,1
34,1,1,2021,1,-1.084042178188252,1
34,1,1,2022,0,-1.0537376134499694,1
34,1,1,2022,1,-1.0148026020461836,1
34,2,2,2013,0,0.02179939854665134,0
34,2,2,2013,1,0.16826408499820988,0
34,2,2,2014,0,0.21705614134816356,0
34,2,2,2014,1,0.28747805707004825,0
34,2,0,2013,0,-0.25823804706638465,0
34,2,0,2013,1,-0.07409023817790453,0
34,2,0,2014,0,-0.03009076686271369,0
34,2,0,2014,1,0.054304252984271134,0
34,2,2,2015,0,0.38198935139674356,0
34,2,2,2015,1,0.48048392879982493,0
34,2,2,2016,0,0.5975165791869758,0
34,2,2,2016,1,0.6950564331860344,0
34,2,0,2015,0,0.17697672639386056,0
34,2,0,2015,1,0.3081215796802075,0
34,2,0,2016,0,0.46689018496771395,0
34,2,0,2016,1,0.536180342482181,0
34,2,1,2015,0,0.27850618614085504,0
34,2,1,2015,1,0.39348396827431464,0
34,2,1,2016,0,0.5326965504582307,0
34,2,1,2016,1,0.6191654065735562,0
34,2,2,2017,0,0.7700306724237888,0
34,2,2,2017,1,0.8534962595529502,2
34,2,2,2018,0,0.9133656364581869,2
34,2,2,2018,1,1.0235508335568837,2
34,2,0,2017,0,0.5825002342561555,0
34,2,0,2017,1,0.6528336325763426,0
34,2,0,2018,0,0.7440634603686819,0
34,2,0,2018,1,0.8319865309404658,2
34,2,1,2017,0,0.6793129810269849,0
34,2,1,2017,1,0.7574042973388001,0
34,2,1,2018,0,0.8350087679412793,2
34,2,1,2018,1,0.9342936792880879,2
34,2,2,2019,0,1.136581232852999,2
34,2,2,2019,1,1.2811870538689107,2
34,2,2,2020,0,1.3550358575707975,2
34,2,2,2020,1,1.3696475515224291,2
34,2,0,2019,0,0.8972554693492479,2
34,2,0,2019,1,1.0536151367762734,2
34,2,0,2020,0,1.143220037980309,2
34,2,0,2020,1,1.1553911807137107,2
34,2,1,2019,0,1.0256499605114235,2
34,2,1,2019,1,1.1773814323639815,2
34,2,1,2020,0,1.2582104654568682,2
34,2,1,2020,1,1.2729549355110463,2
34,2,2,2021,0,1.512261731000148,2
34,2,2,2021,1,1.596682041533332,2
34,2,2,2022,0,1.7660284763236858,2
34,2,2,2022,1,1.9683919019471947,2
34,2,0,2021,0,1.269471143487096,2
34,2,0,2021,1,1.3282846342435128,2
34,2,0,2022,0,1.4559836315352086,2
34,2,0,2022,1,1.6431283867383029,2
34,2,1,2021,0,1.4026961557133335,2
34,2,1,2021,1,1.4757546254714926,2
34,2,1,2022,0,1.6255576825013558,2
34,2,1,2022,1,1.8216932766482927,2
32,0,2,2015,0,-0.0979646459500213,0
32,0,2,2015,1,-0.016111340066063747,0
32,0,2,2016,0,0.05216086732888247,0
32,0,2,2016,1,0.11547610022877054,0
32,0,0,2015,0,-0.06408777178609078,0
32,0,0,2015,1,0.0593687128956762,0
32,0,0,2016,0,0.18026451559976645,0
32,0,0,2016,1,0.23970395083961546,0
32,0,1,2015,0,-0.07753609417255591,0
32,0,1,2015,1,0.029399249749533854,0
32,0,1,2016,0,0.1459829904566475,0
32,0,1,2016,1,0.19254946642106488,0
32,0,2,2017,0,0.21008855730026296,0
32,0,2,2017,1,0.22404901608226346,0
32,0,2,2018,0,0.3351193871979349,0
32,0,2,2018,1,0.40095104337465093,0
32,0,0,2017,0,0.30964534352371387,0
32,0,0,2017,1,0.32161416076752136,0
32,0,0,2018,0,0.4121295266747311,0
32,0,0,2018,1,0.4212468190495701,0
32,0,1,2017,0,0.2718231223126963,0
32,0,1,2017,1,0.2815157777985689,0
32,0,1,2018,0,0.38145192431500896,0
32,0,1,2018,1,0.4128819245891595,0
32,0,2,2019,0,0.49687229345695594,0
32,0,2,2019,1,0.6210116266661033,0
32,0,2,2020,0,0.6794647251441805,0
32,0,2,2020,1,0.6902385574650722,0
32,0,0,2019,0,0.4951462041238553,0
32,0,0,2019,1,0.6196206389251432,0
32,0,0,2020,0,0.706810279597148,0
32,0,0,2020,1,0.7113942164707668,0
32,0,1,2019,0,0.49587963402363433,0
32,0,1,2019,1,0.6202465834085752,0
32,0,1,2020,0,0.6950374651713849,0
32,0,1,2020,1,0.7020998892925328,0
32,0,2,2021,0,0.7599965926742259,0
32,0,2,2021,1,0.8036356717110771,0
32,0,2,2022,0,0.9447450553599389,2
32,0,2,2022,1,1.1786586120170448,2
32,0,0,2021,0,0.8491399388551248,2
32,0,0,2021,1,0.8901614318703509,2
32,0,0,2022,0,1.0561252373815515,2
32,0,0,2022,1,1.2448822738298497,2
32,0,1,2021,0,0.8076568908167621,0
32,0,1,2021,1,0.8497911740247562,2
32,0,1,2022,0,1.0053415394934049,2
32,0,1,2022,1,1.2134459508841493,2
32,1,2,2015,0,-1.175885305120924,1
32,1,2,2015,1,-1.1502215813002084,1
32,1,2,2016,0,-1.1035286519047944,1
32,1,2,2016,1,-1.0836944312530121,1
32,1,0,2015,0,-1.4410581499203352,1
32,1,0,2015,1,-1.429051396647229,1
